Ute oppe	temp	1.3	2015-03-03 05:38:20
Ute oppe	humidity	98	2015-03-03 05:38:20
Ute	temp	0.3	2015-03-03 05:46:51
Ute oppe	temp	1.2	2015-03-03 05:48:44
Ute oppe	humidity	98	2015-03-03 05:48:44
Ute	temp	0.3	2015-03-03 05:57:15
Ute oppe	temp	1.3	2015-03-03 05:59:08
Ute oppe	humidity	98	2015-03-03 05:59:08
Ute	temp	0.3	2015-03-03 06:07:39
Ute oppe	temp	1.2	2015-03-03 06:09:32
Ute oppe	humidity	98	2015-03-03 06:09:32
Ute	temp	0.4	2015-03-03 06:18:03
Ute oppe	temp	1.2	2015-03-03 06:19:56
Ute oppe	humidity	98	2015-03-03 06:19:56
Ute	temp	0.2	2015-03-03 06:28:27
Ute oppe	temp	1.2	2015-03-03 06:30:22
Ute oppe	humidity	98	2015-03-03 06:30:22
Ute	temp	0.2	2015-03-03 06:38:51
Ute oppe	temp	1.2	2015-03-03 06:40:44
Ute oppe	humidity	98	2015-03-03 06:40:44
Ute	temp	0.3	2015-03-03 06:49:15
Ute oppe	temp	1.2	2015-03-03 06:51:08
Ute oppe	humidity	98	2015-03-03 06:51:08
Ute	temp	0.2	2015-03-03 06:59:39
Ute oppe	temp	1.2	2015-03-03 07:01:32
Ute oppe	humidity	98	2015-03-03 07:01:32
Ute	temp	0.3	2015-03-03 07:10:03
Ute oppe	temp	1.2	2015-03-03 07:11:56
Ute oppe	humidity	98	2015-03-03 07:11:56
Ute	temp	0.4	2015-03-03 07:20:27
Ute oppe	temp	1.2	2015-03-03 07:22:20
Ute oppe	humidity	98	2015-03-03 07:22:20
Ute	temp	0.3	2015-03-03 07:30:51
Ute oppe	temp	1.2	2015-03-03 07:32:44
Ute oppe	humidity	98	2015-03-03 07:32:44
Ute	temp	0.3	2015-03-03 07:41:15
Ute oppe	temp	1.2	2015-03-03 07:43:08
Ute oppe	humidity	98	2015-03-03 07:43:08
Ute	temp	0.3	2015-03-03 07:51:39
Ute oppe	temp	1.3	2015-03-03 07:53:32
Ute oppe	humidity	98	2015-03-03 07:53:32
Ute	temp	0.2	2015-03-03 08:02:03
Ute oppe	temp	1.3	2015-03-03 08:03:56
Ute oppe	humidity	98	2015-03-03 08:03:56
Ute	temp	0.3	2015-03-03 08:12:27
Ute oppe	temp	1.3	2015-03-03 08:14:20
Ute oppe	humidity	98	2015-03-03 08:14:20
Ute	temp	0.4	2015-03-03 08:22:51
Ute oppe	temp	1.4	2015-03-03 08:24:44
Ute oppe	humidity	98	2015-03-03 08:24:44
Ute	temp	0.4	2015-03-03 08:33:15
Ute oppe	temp	1.4	2015-03-03 08:35:08
Ute oppe	humidity	98	2015-03-03 08:35:08
Ute	temp	0.6	2015-03-03 08:43:39
Ute oppe	temp	1.4	2015-03-03 08:35:08
Ute oppe	humidity	98	2015-03-03 08:35:08
Ute	temp	0.7	2015-03-03 08:54:03
Ute oppe	temp	1.6	2015-03-03 08:46:11
Ute oppe	humidity	98	2015-03-03 08:46:11
Ute	temp	0.9	2015-03-03 09:04:27
Ute oppe	temp	1.7	2015-03-03 08:56:35
Ute oppe	humidity	98	2015-03-03 08:56:35
Ute	temp	1.5	2015-03-03 09:14:51
Ute oppe	temp	2.0	2015-03-03 09:06:59
Ute oppe	humidity	98	2015-03-03 09:06:59
Ute	temp	1.4	2015-03-03 09:25:15
Ute oppe	temp	2.3	2015-03-03 09:17:23
Ute oppe	humidity	98	2015-03-03 09:17:23
Ute	temp	1.9	2015-03-03 09:35:39
Ute oppe	temp	2.4	2015-03-03 09:27:47
Ute oppe	humidity	98	2015-03-03 09:27:47
Ute	temp	1.3	2015-03-03 09:46:03
Ute oppe	temp	2.6	2015-03-03 09:38:11
Ute oppe	humidity	97	2015-03-03 09:38:11
Ute	temp	1.3	2015-03-03 09:46:03
Ute oppe	temp	2.3	2015-03-03 09:48:35
Ute oppe	humidity	96	2015-03-03 09:48:35
Ute	temp	0.8	2015-03-03 09:56:27
Ute oppe	temp	2.2	2015-03-03 09:58:59
Ute oppe	humidity	96	2015-03-03 09:58:59
Ute	temp	1.4	2015-03-03 10:06:51
Ute oppe	temp	2.5	2015-03-03 10:09:23
Ute oppe	humidity	95	2015-03-03 10:09:23
Ute	temp	1.4	2015-03-03 10:17:15
Ute oppe	temp	2.6	2015-03-03 10:19:47
Ute oppe	humidity	94	2015-03-03 10:19:47
Ute	temp	1.9	2015-03-03 10:27:39
Ute oppe	temp	2.8	2015-03-03 10:30:11
Ute oppe	humidity	92	2015-03-03 10:30:11
Ute	temp	2.4	2015-03-03 10:38:03
Ute oppe	temp	3.1	2015-03-03 10:40:35
Ute oppe	humidity	90	2015-03-03 10:40:35
Ute	temp	3.2	2015-03-03 10:48:27
Ute oppe	temp	3.0	2015-03-03 10:50:59
Ute oppe	humidity	88	2015-03-03 10:50:59
Ute	temp	6.8	2015-03-03 10:58:51
Ute oppe	temp	3.2	2015-03-03 11:01:23
Ute oppe	humidity	87	2015-03-03 11:01:23
Ute	temp	3.6	2015-03-03 11:09:15
Ute oppe	temp	3.3	2015-03-03 11:11:47
Ute oppe	humidity	86	2015-03-03 11:11:47
Ute	temp	3.1	2015-03-03 11:19:39
Ute oppe	temp	3.2	2015-03-03 11:22:11
Ute oppe	humidity	86	2015-03-03 11:22:11
Ute	temp	3.2	2015-03-03 11:30:03
Ute oppe	temp	3.0	2015-03-03 11:32:35
Ute oppe	humidity	85	2015-03-03 11:32:35
Ute	temp	3.6	2015-03-03 11:40:27
Ute oppe	temp	3.5	2015-03-03 11:42:59
Ute oppe	humidity	84	2015-03-03 11:42:59
Ute	temp	3.8	2015-03-03 11:50:51
Ute oppe	temp	3.6	2015-03-03 11:53:23
Ute oppe	humidity	81	2015-03-03 11:53:23
Ute	temp	3.3	2015-03-03 12:01:15
Ute oppe	temp	3.7	2015-03-03 12:03:47
Ute oppe	humidity	80	2015-03-03 12:03:47
Ute	temp	7.3	2015-03-03 12:11:39
Ute oppe	temp	3.9	2015-03-03 12:14:11
Ute oppe	humidity	78	2015-03-03 12:14:11
Ute	temp	8.1	2015-03-03 12:22:03
Ute oppe	temp	4.3	2015-03-03 12:24:35
Ute oppe	humidity	78	2015-03-03 12:24:35
Ute	temp	6.7	2015-03-03 12:32:27
Ute oppe	temp	4.2	2015-03-03 12:34:59
Ute oppe	humidity	76	2015-03-03 12:34:59
Ute	temp	3.8	2015-03-03 12:42:51
Ute oppe	temp	4.4	2015-03-03 12:45:23
Ute oppe	humidity	75	2015-03-03 12:45:23
Ute	temp	4.6	2015-03-03 12:53:15
Ute oppe	temp	4.6	2015-03-03 12:55:47
Ute oppe	humidity	74	2015-03-03 12:55:47
Ute	temp	3.7	2015-03-03 13:03:39
Ute oppe	temp	4.1	2015-03-03 13:06:11
Ute oppe	humidity	72	2015-03-03 13:06:11
Ute	temp	3.8	2015-03-03 13:14:03
Ute oppe	temp	4.3	2015-03-03 13:16:35
Ute oppe	humidity	71	2015-03-03 13:16:35
Ute	temp	3.6	2015-03-03 13:25:15
Ute oppe	temp	4.3	2015-03-03 13:16:35
Ute oppe	humidity	71	2015-03-03 13:16:35
Ute	temp	3.1	2015-03-03 13:35:39
Ute oppe	temp	4.7	2015-03-03 13:26:59
